Code géographique 1991;Nom de la municipalité;Population estimée;Latitude;Longitude
28075;Saint-Magloire;639;"46° 34' 32"" N";"70° 17' 19"" O"
29005;Saint-Théophile;724;"45° 56' 09"" N";"70° 28' 58"" O"
29013;Saint-Gédéon-de-Beauce;2 170;"45° 51' 09"" N";"70° 38' 27"" O"
29020;Saint-Hilaire-de-Dorset;98;"45° 51' 56"" N";"70° 51' 24"" O"
29025;Saint-Évariste-de-Forsyth;580;"45° 56' 07"" N";"70° 56' 56"" O"
29030;La Guadeloupe;1 760;"45° 58' 05"" N";"70° 56' 30"" O"
29038;Saint-Honoré-de-Shenley;1 534;"45° 57' 40"" N";"70° 49' 26"" O"
29045;Saint-Martin;2 526;"45° 57' 33"" N";"70° 39' 21"" O"
29050;Saint-René;781;"46° 00' 49"" N";"70° 37' 08"" O"
29057;Saint-Côme--Linière;3 259;"46° 03' 29"" N";"70° 31' 19"" O"
29065;Saint-Philibert;362;"46° 08' 08"" N";"70° 32' 41"" O"
29073;Saint-Georges;33 158;"46° 07' 22"" N";"70° 40' 17"" O"
29095;Lac-Poulin;145;"46° 05' 55"" N";"70° 48' 58"" O"
29100;Saint-Benoît-Labre;1 617;"46° 04' 16"" N";"70° 47' 19"" O"
29112;Saint-Éphrem-de-Beauce;2 383;"46° 03' 32"" N";"70° 57' 19"" O"
29120;Notre-Dame-des-Pins;1 665;"46° 10' 60"" N";"70° 42' 51"" O"
29125;Saint-Simon-les-Mines;579;"46° 12' 41"" N";"70° 40' 52"" O"
30005;Saint-Augustin-de-Woburn;705;"45° 23' 05"" N";"70° 51' 47"" O"
30010;Notre-Dame-des-Bois;947;"45° 23' 31"" N";"71° 04' 27"" O"
30015;Val-Racine;177;"45° 29' 13"" N";"71° 04' 26"" O"
30020;Piopolis;354;"45° 29' 09"" N";"70° 54' 26"" O"
30025;Frontenac;1 741;"45° 34' 20"" N";"70° 49' 49"" O"
30030;Lac-Mégantic;5 614;"45° 34' 25"" N";"70° 52' 56"" O"
30035;Marston;715;"45° 33' 06"" N";"70° 56' 48"" O"
30040;Milan;301;"45° 35' 17"" N";"71° 07' 23"" O"
30045;Nantes;1 414;"45° 38' 01"" N";"71° 01' 16"" O"
30050;Sainte-Cécile-de-Whitton;843;"45° 40' 04"" N";"70° 56' 25"" O"
30055;Audet;749;"45° 39' 26"" N";"70° 44' 03"" O"
30070;Saint-Robert-Bellarmin;564;"45° 44' 59"" N";"70° 35' 04"" O"
30072;Saint-Ludger;1 051;"45° 44' 27"" N";"70° 41' 28"" O"
30080;Lac-Drolet;1 020;"45° 43' 06"" N";"70° 50' 59"" O"
30085;Saint-Sébastien;660;"45° 46' 56"" N";"70° 58' 11"" O"
30090;Courcelles;794;"45° 52' 27"" N";"70° 58' 59"" O"
30095;Lambton;1 612;"45° 50' 18"" N";"71° 05' 35"" O"
30100;Saint-Romain;699;"45° 47' 04"" N";"71° 05' 34"" O"
30105;Stornoway;529;"45° 42' 32"" N";"71° 09' 31"" O"
30110;Stratford;943;"45° 46' 55"" N";"71° 16' 58"" O"
31008;Beaulac-Garthby;957;"45° 50' 20"" N";"71° 22' 44"" O"
31015;Disraeli;2 338;"45° 54' 11"" N";"71° 21' 28"" O"
31020;Disraeli;1 120;"45° 55' 26"" N";"71° 22' 19"" O"
31025;Saint-Jacques-le-Majeur-de-Wolfestown;180;"45° 56' 28"" N";"71° 30' 14"" O"
31030;Saint-Fortunat;262;"45° 58' 21"" N";"71° 35' 59"" O"
31035;Saint-Julien;374;"45° 59' 42"" N";"71° 31' 41"" O"
31040;Irlande;880;"46° 05' 10"" N";"71° 31' 58"" O"
31045;Saint-Joseph-de-Coleraine;1 742;"45° 57' 51"" N";"71° 22' 23"" O"
31050;Sainte-Praxède;322;"45° 54' 05"" N";"71° 15' 17"" O"
31056;Adstock;2 773;"46° 02' 50"" N";"71° 04' 40"" O"
31060;Sainte-Clotilde-de-Beauce;563;"46° 07' 32"" N";"71° 01' 42"" O"
31084;Thetford Mines;25 624;"46° 05' 20"" N";"71° 18' 07"" O"
31095;Saint-Adrien-d'Irlande;400;"46° 06' 35"" N";"71° 27' 04"" O"
31100;Saint-Jean-de-Brébeuf;365;"46° 11' 00"" N";"71° 27' 25"" O"
31105;Kinnear's Mills;346;"46° 13' 24"" N";"71° 22' 55"" O"
31122;East Broughton;2 185;"46° 13' 34"" N";"71° 04' 39"" O"
31130;Sacré-Coeur-de-Jésus;532;"46° 14' 07"" N";"71° 03' 26"" O"
31135;Saint-Pierre-de-Broughton;893;"46° 14' 44"" N";"71° 12' 24"" O"
31140;Saint-Jacques-de-Leeds;688;"46° 17' 20"" N";"71° 20' 18"" O"
32013;Saint-Ferdinand;2 033;"46° 06' 43"" N";"71° 34' 24"" O"
32023;Sainte-Sophie-d'Halifax;621;"46° 09' 13"" N";"71° 42' 28"" O"
32033;Princeville;6 131;"46° 10' 18"" N";"71° 52' 33"" O"
32040;Plessisville;6 508;"46° 13' 08"" N";"71° 46' 19"" O"
32045;Plessisville;2 613;"46° 12' 25"" N";"71° 45' 09"" O"
32050;Saint-Pierre-Baptiste;517;"46° 12' 15"" N";"71° 37' 03"" O"
32058;Inverness;913;"46° 15' 38"" N";"71° 31' 21"" O"
32065;Lyster;1 592;"46° 22' 18"" N";"71° 36' 56"" O"
32072;Laurierville;1 307;"46° 17' 48"" N";"71° 39' 23"" O"
32080;Notre-Dame-de-Lourdes;711;"46° 19' 37"" N";"71° 49' 09"" O"
32085;Villeroy;474;"46° 23' 12"" N";"71° 52' 28"" O"
33007;Saint-Sylvestre;1 008;"46° 21' 54"" N";"71° 13' 23"" O"
33017;Sainte-Agathe-de-Lotbinière;1 150;"46° 22' 34"" N";"71° 24' 01"" O"
33025;Saint-Patrice-de-Beaurivage;1 067;"46° 24' 43"" N";"71° 14' 20"" O"
33030;Saint-Narcisse-de-Beaurivage;1 108;"46° 28' 54"" N";"71° 13' 54"" O"
33035;Saint-Gilles;2 643;"46° 30' 36"" N";"71° 21' 53"" O"
33040;Dosquet;994;"46° 27' 56"" N";"71° 31' 35"" O"
33045;Saint-Agapit;4 402;"46° 33' 52"" N";"71° 26' 13"" O"
33052;Saint-Flavien;1 626;"46° 31' 08"" N";"71° 36' 12"" O"
33060;Laurier-Station;2 582;"46° 32' 17"" N";"71° 37' 54"" O"
33065;Saint-Janvier-de-Joly;1 041;"46° 29' 07"" N";"71° 39' 48"" O"
33070;Val-Alain;983;"46° 24' 59"" N";"71° 45' 17"" O"
33080;Saint-Édouard-de-Lotbinière;1 198;"46° 34' 08"" N";"71° 50' 14"" O"
33085;Notre-Dame-du-Sacré-Coeur-d'Issoudun;884;"46° 34' 43"" N";"71° 37' 23"" O"
33090;Saint-Apollinaire;6 834;"46° 37' 00"" N";"71° 30' 38"" O"
33095;Saint-Antoine-de-Tilly;1 626;"46° 39' 52"" N";"71° 34' 22"" O"
33102;Sainte-Croix;2 508;"46° 37' 23"" N";"71° 44' 23"" O"
33115;Lotbinière;796;"46° 37' 01"" N";"71° 55' 46"" O"
33123;Leclercville;481;"46° 34' 17"" N";"72° 00' 04"" O"
34007;Neuville;4 466;"46° 41' 55"" N";"71° 35' 25"" O"
34017;Pont-Rouge;9 763;"46° 45' 17"" N";"71° 41' 50"" O"
34025;Donnacona;7 292;"46° 40' 22"" N";"71° 44' 14"" O"
34030;Cap-Santé;3 454;"46° 40' 17"" N";"71° 46' 16"" O"
34038;Saint-Basile;2 642;"46° 45' 22"" N";"71° 49' 34"" O"
34048;Portneuf;3 244;"46° 41' 27"" N";"71° 53' 20"" O"
34058;Deschambault-Grondines;2 236;"46° 38' 55"" N";"71° 55' 38"" O"
34060;Saint-Gilbert;298;"46° 42' 55"" N";"71° 59' 40"" O"
34065;Saint-Marc-des-Carrières;2 938;"46° 40' 49"" N";"72° 02' 56"" O"
34078;Saint-Casimir;1 411;"46° 39' 23"" N";"72° 08' 27"" O"
34085;Saint-Thuribe;285;"46° 42' 30"" N";"72° 09' 46"" O"
34090;Saint-Ubalde;1 375;"46° 45' 19"" N";"72° 16' 11"" O"
34097;Saint-Alban;1 217;"46° 43' 10"" N";"72° 04' 38"" O"
34105;Sainte-Christine-d'Auvergne;599;"46° 48' 51"" N";"71° 58' 15"" O"
34115;Saint-Léonard-de-Portneuf;1 136;"46° 53' 27"" N";"71° 54' 23"" O"
34120;Lac-Sergent;515;"46° 52' 10"" N";"71° 43' 29"" O"
34128;Saint-Raymond;10 620;"46° 53' 29"" N";"71° 49' 57"" O"
34135;Rivière-à-Pierre;555;"46° 59' 49"" N";"72° 10' 34"" O"
34902;Lac-Blanc;0;"47° 15' 54"" N";"71° 54' 21"" O"
34904;Linton;0;"47° 12' 35"" N";"72° 05' 18"" O"
34906;Lac-Lapeyrère;0;"47° 14' 03"" N";"72° 23' 52"" O"
35005;Notre-Dame-de-Montauban;745;"46° 52' 34"" N";"72° 18' 30"" O"
35010;Lac-aux-Sables;1 286;"46° 51' 32"" N";"72° 23' 59"" O"
35015;Saint-Adelphe;941;"46° 44' 04"" N";"72° 25' 51"" O"
35020;Saint-Séverin;840;"46° 40' 02"" N";"72° 30' 10"" O"
35027;Saint-Tite;3 717;"46° 43' 37"" N";"72° 33' 53"" O"
35035;Hérouxville;1 303;"46° 40' 25"" N";"72° 36' 51"" O"
35040;Grandes-Piles;439;"46° 41' 12"" N";"72° 43' 33"" O"
35045;Saint-Roch-de-Mékinac;303;"46° 48' 41"" N";"72° 46' 08"" O"
35050;Sainte-Thècle;2 400;"46° 48' 54"" N";"72° 30' 28"" O"
35055;Trois-Rives;392;"46° 55' 02"" N";"72° 41' 59"" O"
35902;Lac-Masketsi;0;"47° 04' 46"" N";"72° 30' 51"" O"
35904;Lac-Normand;5;"47° 09' 45"" N";"73° 24' 09"" O"
35906;Rivière-de-la-Savane;0;"47° 06' 14"" N";"73° 37' 57"" O"
35908;Lac-Boulé;0;"46° 53' 22"" N";"73° 37' 56"" O"
36033;Shawinigan;49 338;"46° 32' 28"" N";"72° 44' 43"" O"
37067;Trois-Rivières;136 857;"46° 20' 35"" N";"72° 32' 36"" O"
37205;Sainte-Anne-de-la-Pérade;2 016;"46° 34' 08"" N";"72° 12' 40"" O"
37210;Batiscan;910;"46° 29' 18"" N";"72° 15' 24"" O"
37215;Sainte-Geneviève-de-Batiscan;1 004;"46° 31' 56"" N";"72° 20' 19"" O"
37220;Champlain;1 794;"46° 26' 14"" N";"72° 21' 17"" O"
37225;Saint-Luc-de-Vincennes;544;"46° 29' 48"" N";"72° 25' 09"" O"
37230;Saint-Maurice;3 457;"46° 28' 09"" N";"72° 31' 50"" O"
37235;Notre-Dame-du-Mont-Carmel;5 897;"46° 28' 22"" N";"72° 40' 32"" O"
37240;Saint-Narcisse;1 840;"46° 33' 48"" N";"72° 28' 24"" O"
37245;Saint-Stanislas;1 036;"46° 36' 40"" N";"72° 23' 12"" O"
37250;Saint-Prosper-de-Champlain;542;"46° 36' 50"" N";"72° 17' 41"" O"
38005;Saint-Sylvère;762;"46° 14' 00"" N";"72° 13' 29"" O"
38010;Bécancour;13 322;"46° 20' 54"" N";"72° 26' 06"" O"
38015;Sainte-Marie-de-Blandford;451;"46° 19' 25"" N";"72° 10' 44"" O"
38020;Lemieux;305;"46° 17' 44"" N";"72° 06' 32"" O"
38028;Manseau;808;"46° 21' 58"" N";"72° 00' 10"" O"
38035;Sainte-Françoise;448;"46° 26' 47"" N";"71° 58' 57"" O"
38040;Sainte-Sophie-de-Lévrard;711;"46° 25' 41"" N";"72° 06' 34"" O"
38047;Fortierville;656;"46° 29' 10"" N";"72° 01' 55"" O"
38055;Parisville;534;"46° 31' 07"" N";"72° 03' 56"" O"
38060;Sainte-Cécile-de-Lévrard;371;"46° 28' 00"" N";"72° 09' 42"" O"
38065;Saint-Pierre-les-Becquets;1 114;"46° 30' 23"" N";"72° 12' 11"" O"
38070;Deschaillons-sur-Saint-Laurent;869;"46° 33' 06"" N";"72° 07' 31"" O"
38802;Wôlinak;205;"46° 19' 43"" N";"72° 25' 18"" O"
39005;Saints-Martyrs-Canadiens;263;"45° 51' 19"" N";"71° 32' 04"" O"
39010;Ham-Nord;870;"45° 54' 11"" N";"71° 38' 48"" O"
39015;Notre-Dame-de-Ham;404;"45° 54' 33"" N";"71° 44' 11"" O"
39020;Saint-Rémi-de-Tingwick;443;"45° 51' 58"" N";"71° 49' 13"" O"
39025;Tingwick;1 434;"45° 52' 44"" N";"71° 56' 33"" O"
39030;Chesterville;949;"45° 57' 44"" N";"71° 49' 24"" O"
39035;Sainte-Hélène-de-Chester;391;"46° 01' 54"" N";"71° 42' 34"" O"
39043;Saint-Norbert-d'Arthabaska;1 220;"46° 06' 23"" N";"71° 49' 16"" O"
39060;Saint-Christophe-d'Arthabaska;3 074;"46° 01' 49"" N";"71° 55' 54"" O"
39062;Victoriaville;47 233;"46° 03' 21"" N";"71° 57' 38"" O"
39077;Warwick;4 669;"45° 56' 45"" N";"71° 59' 22"" O"
39085;Saint-Albert;1 649;"46° 00' 10"" N";"72° 05' 20"" O"
39090;Sainte-Élizabeth-de-Warwick;374;"45° 55' 16"" N";"72° 04' 47"" O"
39097;Kingsey Falls;1 922;"45° 51' 29"" N";"72° 04' 20"" O"
39105;Sainte-Séraphine;367;"45° 55' 16"" N";"72° 11' 06"" O"
39117;Sainte-Clotilde-de-Horton;1 583;"45° 59' 41"" N";"72° 14' 24"" O"
39130;Saint-Samuel;770;"46° 04' 17"" N";"72° 12' 23"" O"
39135;Saint-Valère;1 249;"46° 03' 57"" N";"72° 05' 45"" O"
39145;Saint-Rosaire;869;"46° 09' 49"" N";"72° 01' 38"" O"
39152;Daveluyville;2 308;"46° 12' 21"" N";"72° 08' 17"" O"
39165;Maddington Falls;424;"46° 13' 03"" N";"72° 08' 38"" O"
39170;Saint-Louis-de-Blandford;1 079;"46° 14' 58"" N";"72° 00' 08"" O"
40005;Ham-Sud;234;"45° 45' 22"" N";"71° 36' 04"" O"
40010;Saint-Adrien;529;"45° 49' 10"" N";"71° 43' 22"" O"
40017;Wotton;1 421;"45° 44' 11"" N";"71° 48' 35"" O"
40025;Saint-Camille;543;"45° 40' 57"" N";"71° 42' 06"" O"
40032;Saint-Georges-de-Windsor;987;"45° 41' 53"" N";"71° 50' 40"" O"
40043;Asbestos;6 781;"45° 46' 39"" N";"71° 56' 18"" O"
40047;Danville;3 819;"45° 46' 56"" N";"72° 00' 30"" O"
41012;Saint-Isidore-de-Clifton;677;"45° 15' 52"" N";"71° 30' 40"" O"
41020;Chartierville;280;"45° 17' 56"" N";"71° 12' 08"" O"
41027;La Patrie;799;"45° 24' 12"" N";"71° 15' 06"" O"
41037;Newport;731;"45° 23' 19"" N";"71° 28' 43"" O"
41038;Cookshire-Eaton;5 379;"45° 24' 47"" N";"71° 37' 34"" O"
41055;Ascot Corner;3 197;"45° 26' 54"" N";"71° 45' 60"" O"
41060;East Angus;3 820;"45° 29' 03"" N";"71° 39' 33"" O"
41065;Westbury;1 053;"45° 28' 07"" N";"71° 40' 57"" O"
41070;Bury;1 148;"45° 28' 23"" N";"71° 30' 02"" O"
41075;Hampden;177;"45° 27' 43"" N";"71° 15' 32"" O"
41080;Scotstown;467;"45° 31' 24"" N";"71° 16' 51"" O"
41085;Lingwick;460;"45° 36' 35"" N";"71° 21' 07"" O"
41098;Weedon;2 661;"45° 42' 26"" N";"71° 27' 38"" O"
41117;Dudswell;1 769;"45° 34' 49"" N";"71° 34' 18"" O"
42005;Stoke;2 956;"45° 31' 59"" N";"71° 48' 20"" O"
42020;Saint-François-Xavier-de-Brompton;2 361;"45° 32' 25"" N";"72° 02' 43"" O"
42025;Saint-Denis-de-Brompton;4 292;"45° 27' 30"" N";"72° 04' 47"" O"
42032;Racine;1 351;"45° 30' 13"" N";"72° 14' 35"" O"
42040;Bonsecours;621;"45° 24' 23"" N";"72° 18' 15"" O"
42045;Lawrenceville;627;"45° 25' 18"" N";"72° 20' 28"" O"
42050;Sainte-Anne-de-la-Rochelle;610;"45° 24' 13"" N";"72° 24' 04"" O"
42055;Valcourt;2 156;"45° 29' 32"" N";"72° 18' 52"" O"
42060;Valcourt;1 041;"45° 29' 18"" N";"72° 18' 34"" O"
42065;Maricourt;420;"45° 33' 53"" N";"72° 15' 45"" O"
42070;Kingsbury;139;"45° 35' 15"" N";"72° 08' 19"" O"
42075;Melbourne;1 061;"45° 38' 42"" N";"72° 08' 29"" O"
42078;Ulverton;416;"45° 43' 32"" N";"72° 14' 25"" O"
42088;Windsor;5 396;"45° 34' 07"" N";"72° 00' 21"" O"
42095;Val-Joli;1 657;"45° 35' 37"" N";"71° 58' 07"" O"
42098;Richmond;3 229;"45° 39' 56"" N";"72° 08' 49"" O"
42100;Saint-Claude;1 170;"45° 39' 33"" N";"71° 58' 34"" O"
42110;Cleveland;1 534;"45° 38' 39"" N";"72° 08' 00"" O"
43027;Sherbrooke;166 863;"45° 24' 15"" N";"71° 53' 35"" O"
44003;Saint-Malo;473;"45° 11' 54"" N";"71° 30' 03"" O"
44005;Saint-Venant-de-Paquette;97;"45° 07' 30"" N";"71° 27' 43"" O"
44010;East Hereford;266;"45° 04' 34"" N";"71° 30' 09"" O"
44015;Saint-Herménégilde;729;"45° 06' 19"" N";"71° 40' 22"" O"
44023;Dixville;693;"45° 04' 03"" N";"71° 46' 11"" O"
44037;Coaticook;8 914;"45° 08' 04"" N";"71° 48' 18"" O"
44045;Barnston-Ouest;563;"45° 06' 09"" N";"71° 58' 33"" O"
44050;Stanstead-Est;603;"45° 05' 30"" N";"72° 03' 24"" O"
44055;Sainte-Edwidge-de-Clifton;526;"45° 12' 20"" N";"71° 40' 60"" O"
44060;Martinville;445;"45° 16' 42"" N";"71° 43' 03"" O"
44071;Compton;3 112;"45° 14' 32"" N";"71° 49' 39"" O"
44080;Waterville;2 177;"45° 16' 41"" N";"71° 53' 26"" O"
45008;Stanstead;2 792;"45° 00' 38"" N";"72° 05' 51"" O"
45020;Ogden;756;"45° 01' 33"" N";"72° 12' 54"" O"
45025;Stanstead;958;"45° 07' 06"" N";"72° 10' 55"" O"
45030;Potton;1 868;"45° 02' 59"" N";"72° 23' 30"" O"
45035;Ayer's Cliff;1 120;"45° 10' 10"" N";"72° 02' 37"" O"
45043;Hatley;673;"45° 10' 50"" N";"71° 59' 27"" O"
45050;North Hatley;660;"45° 16' 48"" N";"71° 58' 20"" O"
45055;Hatley;2 212;"45° 17' 36"" N";"71° 56' 58"" O"
45060;Sainte-Catherine-de-Hatley;2 554;"45° 15' 04"" N";"72° 02' 50"" O"
45072;Magog;27 102;"45° 15' 54"" N";"72° 08' 48"" O"
45080;Saint-Benoît-du-Lac;30;"45° 10' 01"" N";"72° 16' 09"" O"
45085;Austin;1 505;"45° 11' 12"" N";"72° 16' 49"" O"
45093;Eastman;2 010;"45° 18' 48"" N";"72° 18' 16"" O"
45095;Bolton-Est;998;"45° 12' 09"" N";"72° 21' 24"" O"
45100;Saint-Étienne-de-Bolton;711;"45° 15' 57"" N";"72° 22' 51"" O"
45105;Stukely-Sud;1 096;"45° 19' 15"" N";"72° 24' 55"" O"
45115;Orford;4 569;"45° 18' 50"" N";"72° 10' 13"" O"
46005;Abercorn;340;"45° 02' 08"" N";"72° 39' 35"" O"
46010;Frelighsburg;1 125;"45° 03' 22"" N";"72° 50' 14"" O"
46017;Saint-Armand;1 210;"45° 01' 55"" N";"73° 02' 31"" O"
46025;Pike River;512;"45° 07' 19"" N";"73° 04' 06"" O"
46030;Stanbridge Station;277;"45° 07' 08"" N";"73° 01' 50"" O"
46035;Bedford;2 565;"45° 07' 15"" N";"72° 59' 16"" O"
46040;Bedford;700;"45° 07' 10"" N";"72° 58' 06"" O"
46045;Stanbridge East;877;"45° 07' 22"" N";"72° 54' 53"" O"
46050;Dunham;3 477;"45° 07' 52"" N";"72° 47' 58"" O"
46058;Sutton;4 039;"45° 06' 22"" N";"72° 36' 56"" O"
46065;Bolton-Ouest;611;"45° 14' 36"" N";"72° 27' 42"" O"
46070;Brome;297;"45° 11' 36"" N";"72° 34' 15"" O"
46075;Lac-Brome;5 589;"45° 13' 09"" N";"72° 30' 31"" O"
46078;Bromont;9 774;"45° 19' 08"" N";"72° 38' 46"" O"
46080;Cowansville;14 314;"45° 12' 17"" N";"72° 44' 28"" O"
46085;East Farnham;556;"45° 14' 34"" N";"72° 46' 24"" O"
46090;Brigham;2 323;"45° 14' 55"" N";"72° 50' 45"" O"
46095;Saint-Ignace-de-Stanbridge;678;"45° 10' 20"" N";"72° 56' 46"" O"
46100;Notre-Dame-de-Stanbridge;666;"45° 10' 22"" N";"73° 02' 17"" O"
46105;Sainte-Sabine;1 113;"45° 13' 38"" N";"73° 01' 16"" O"
46112;Farnham;9 337;"45° 17' 02"" N";"72° 58' 36"" O"
47010;Saint-Alphonse-de-Granby;3 215;"45° 19' 39"" N";"72° 47' 23"" O"
47017;Granby;67 733;"45° 23' 56"" N";"72° 43' 16"" O"
47025;Waterloo;4 553;"45° 20' 41"" N";"72° 30' 56"" O"
47030;Warden;371;"45° 22' 40"" N";"72° 30' 15"" O"
47035;Shefford;7 079;"45° 22' 06"" N";"72° 34' 05"" O"
47040;Saint-Joachim-de-Shefford;1 364;"45° 26' 50"" N";"72° 31' 34"" O"
47047;Roxton Pond;4 005;"45° 28' 35"" N";"72° 39' 52"" O"
47055;Sainte-Cécile-de-Milton;2 245;"45° 28' 57"" N";"72° 45' 14"" O"
48005;Béthanie;327;"45° 30' 05"" N";"72° 26' 15"" O"
48010;Roxton Falls;1 290;"45° 34' 21"" N";"72° 31' 21"" O"
48015;Roxton;1 073;"45° 33' 54"" N";"72° 31' 03"" O"
48020;Sainte-Christine;719;"45° 36' 47"" N";"72° 25' 39"" O"
48028;Acton Vale;7 630;"45° 38' 52"" N";"72° 33' 53"" O"
48038;Upton;2 182;"45° 39' 02"" N";"72° 41' 39"" O"
48045;Saint-Théodore-d'Acton;1 545;"45° 41' 05"" N";"72° 34' 38"" O"
48050;Saint-Nazaire-d'Acton;866;"45° 44' 21"" N";"72° 37' 01"" O"
49005;Saint-Félix-de-Kingsey;1 462;"45° 47' 43"" N";"72° 11' 27"" O"
49015;Durham-Sud;1 064;"45° 39' 42"" N";"72° 20' 44"" O"
49020;Lefebvre;932;"45° 42' 48"" N";"72° 24' 47"" O"
49025;L'Avenir;1 355;"45° 45' 56"" N";"72° 18' 44"" O"
49030;Saint-Lucien;1 726;"45° 52' 26"" N";"72° 15' 59"" O"
49040;Wickham;2 580;"45° 45' 49"" N";"72° 30' 00"" O"
49048;Saint-Germain-de-Grantham;4 973;"45° 50' 34"" N";"72° 33' 43"" O"
49058;Drummondville;77 661;"45° 52' 50"" N";"72° 29' 03"" O"
49070;Saint-Cyrille-de-Wendover;4 807;"45° 55' 53"" N";"72° 25' 36"" O"
49075;Notre-Dame-du-Bon-Conseil;1 586;"46° 00' 02"" N";"72° 20' 39"" O"
49080;Notre-Dame-du-Bon-Conseil;977;"45° 58' 29"" N";"72° 22' 26"" O"
49085;Sainte-Brigitte-des-Saults;729;"46° 01' 38"" N";"72° 28' 57"" O"
49095;Saint-Majorique-de-Grantham;1 381;"45° 55' 55"" N";"72° 34' 53"" O"
49100;Saint-Edmond-de-Grantham;768;"45° 52' 54"" N";"72° 40' 35"" O"
49105;Saint-Eugène;1 143;"45° 48' 15"" N";"72° 41' 47"" O"
49113;Saint-Guillaume;1 467;"45° 52' 55"" N";"72° 45' 58"" O"
49125;Saint-Bonaventure;1 050;"45° 57' 57"" N";"72° 40' 49"" O"
49130;Saint-Pie-de-Guire;453;"46° 00' 11"" N";"72° 44' 51"" O"
50005;Sainte-Eulalie;943;"46° 06' 53"" N";"72° 15' 15"" O"
50013;Aston-Jonction;418;"46° 10' 09"" N";"72° 13' 45"" O"
50023;Saint-Wenceslas;1 177;"46° 09' 58"" N";"72° 19' 37"" O"
50030;Saint-Célestin;849;"46° 12' 51"" N";"72° 25' 58"" O"
50035;Saint-Célestin;589;"46° 11' 54"" N";"72° 27' 19"" O"
50042;Saint-Léonard-d'Aston;2 455;"46° 06' 31"" N";"72° 22' 33"" O"
50050;Sainte-Perpétue;961;"46° 05' 05"" N";"72° 28' 14"" O"
50057;Sainte-Monique;511;"46° 09' 29"" N";"72° 32' 14"" O"
50065;Grand-Saint-Esprit;469;"46° 10' 52"" N";"72° 29' 48"" O"
50072;Nicolet;8 440;"46° 13' 35"" N";"72° 36' 58"" O"
50085;La Visitation-de-Yamaska;331;"46° 07' 49"" N";"72° 36' 11"" O"
50090;Saint-Zéphirin-de-Courval;693;"46° 03' 07"" N";"72° 36' 54"" O"
50095;Saint-Elphège;273;"46° 03' 18"" N";"72° 42' 12"" O"
50100;Baie-du-Febvre;963;"46° 08' 15"" N";"72° 43' 18"" O"
50113;Pierreville;2 192;"46° 04' 02"" N";"72° 48' 40"" O"
50128;Saint-François-du-Lac;1 975;"46° 04' 02"" N";"72° 49' 42"" O"
50802;Odanak;460;"46° 04' 24"" N";"72° 49' 12"" O"
51008;Maskinongé;2 321;"46° 13' 21"" N";"73° 00' 59"" O"
51015;Louiseville;7 181;"46° 15' 20"" N";"72° 56' 33"" O"
51020;Yamachiche;2 899;"46° 16' 48"" N";"72° 50' 07"" O"
51025;Saint-Barnabé;1 211;"46° 23' 39"" N";"72° 52' 41"" O"
51030;Saint-Sévère;317;"46° 20' 48"" N";"72° 53' 54"" O"
51035;Saint-Léon-le-Grand;942;"46° 18' 48"" N";"72° 56' 12"" O"
51040;Sainte-Ursule;1 334;"46° 17' 25"" N";"73° 01' 44"" O"
51045;Saint-Justin;968;"46° 14' 58"" N";"73° 05' 23"" O"
51050;Saint-Édouard-de-Maskinongé;722;"46° 19' 43"" N";"73° 08' 49"" O"
51055;Sainte-Angèle-de-Prémont;618;"46° 21' 53"" N";"73° 03' 26"" O"
51060;Saint-Paulin;1 497;"46° 25' 22"" N";"73° 00' 50"" O"
51065;Saint-Alexis-des-Monts;2 952;"46° 27' 36"" N";"73° 08' 49"" O"
51070;Saint-Mathieu-du-Parc;1 313;"46° 34' 24"" N";"72° 55' 19"" O"
51075;Saint-Élie-de-Caxton;1 862;"46° 29' 10"" N";"72° 57' 39"" O"
